ProjectID,ProjectName,ClientName,ClientIndustry,Platform,ProjectCategory,ProjectDescription,StartDate,EndDate,AgreedDuration,ActualDuration,DeliveredOnTime,DelayDays,AgreedFee,PaymentCut,CutReason,CutAmount,FinalFee,RevisionCount,MaxRevisionAllowed,ClientSatisfaction,FeedbackNotes,ContactFrequency,DelayReason,ProjectStatus,TechnologyUsed,HoursWorked,ClientRating
1,Proje 1,Firma C,Teknoloji,Bionluk,Pazarlama,Pazarlama ile ilgili freelance proje.,2024-05-10,2024-05-19,7,9,Hayır,2,529,Hayır,-,0,529,3,2,6,Harika iş,Haftalık,Revizyon geldi,İptal edildi,SQL,27,7
2,Proje 2,Firma E,Eğitim,Freelancer,IT,IT ile ilgili freelance proje.,2023-06-07,2023-06-14,4,7,Hayır,3,909,Hayır,-,0,909,2,2,6,Orta kalite,Haftalık,Teknik sorun,İptal edildi,SQL,28,10
3,Proje 3,Firma C,Teknoloji,Bionluk,Pazarlama,Pazarlama ile ilgili freelance proje.,2024-12-22,2024-12-31,7,9,Hayır,2,295,Hayır,-,0,295,2,2,5,Revizyon istedi,Aylık,Yoğunluk,Tamamlandı,Tableau,54,9
4,Proje 4,Firma C,Teknoloji,Bionluk,Satış,Satış ile ilgili freelance proje.,2024-03-19,2024-03-23,3,4,Hayır,1,996,Hayır,-,0,996,4,2,5,Beklentilerin altında,Aylık,İletişim kopukluğu,Tamamlandı,Python,24,7
5,Proje 5,Firma C,Teknoloji,Bionluk,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-08-18,2024-08-23,2,5,Hayır,3,674,Hayır,-,0,674,0,2,6,Memnun kaldı,Günlük,Müşteri geç yanıt verdi,Devam ediyor,Python,30,10
6,Proje 6,Firma C,Teknoloji,Bionluk,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2023-07-02,2023-07-05,3,3,Evet,0,887,Hayır,-,0,887,0,2,7,Beklentilerin altında,Haftalık,-,Tamamlandı,SQL,15,9
7,Proje 7,Firma E,Eğitim,Freelancer,Pazarlama,Pazarlama ile ilgili freelance proje.,2023-08-24,2023-08-28,5,4,Evet,0,399,Evet,Eksik teslimat,67,332,1,2,9,Beklentilerin altında,Haftalık,-,Tamamlandı,Tableau,20,10
8,Proje 8,Firma A,Perakende,Upwork,Tasarım,Tasarım ile ilgili freelance proje.,2023-08-26,2023-08-30,4,4,Evet,0,975,Hayır,-,0,975,1,2,9,Memnun kaldı,Aylık,-,Tamamlandı,Python,8,10
9,Proje 9,Firma A,Perakende,Upwork,Pazarlama,Pazarlama ile ilgili freelance proje.,2024-12-05,2024-12-09,2,4,Hayır,2,782,Hayır,-,0,782,1,2,7,Beklentilerin altında,Aylık,Teknik sorun,Tamamlandı,Tableau,8,7
10,Proje 10,Firma D,E-ticaret,Upwork,Pazarlama,Pazarlama ile ilgili freelance proje.,2024-12-12,2024-12-17,3,5,Hayır,2,398,Evet,Müşteri memnuniyetsizliği,132,266,1,2,6,Orta kalite,Aylık,Yoğunluk,Devam ediyor,Power BI,30,10
11,Proje 11,Firma C,Teknoloji,Bionluk,IT,IT ile ilgili freelance proje.,2024-12-06,2024-12-11,3,5,Hayır,2,507,Hayır,-,0,507,1,2,5,Orta kalite,Günlük,Yoğunluk,Tamamlandı,Tableau,20,9
12,Proje 12,Firma F,Sağlık,Bionluk,Satış,Satış ile ilgili freelance proje.,2023-01-12,2023-01-13,2,1,Evet,0,301,Hayır,-,0,301,1,2,6,Revizyon istedi,Haftalık,-,Tamamlandı,Power BI,4,10
13,Proje 13,Firma E,Eğitim,Freelancer,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2023-04-07,2023-04-17,7,10,Hayır,3,764,Evet,Eksik teslimat,20,744,4,2,8,Memnun kaldı,Haftalık,Müşteri geç yanıt verdi,Tamamlandı,Tableau,40,6
14,Proje 14,Firma A,Perakende,Upwork,Tasarım,Tasarım ile ilgili freelance proje.,2024-01-24,2024-01-26,2,2,Evet,0,257,Evet,İletişim sorunları,45,212,3,2,9,Beklentilerin altında,Aylık,-,Tamamlandı,Power BI,8,9
15,Proje 15,Firma B,Finans,Freelancer,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-03-18,2024-03-23,3,5,Hayır,2,294,Hayır,-,0,294,1,2,9,Beklentilerin altında,Günlük,Revizyon geldi,Devam ediyor,Excel,30,10
16,Proje 16,Firma C,Teknoloji,Bionluk,IT,IT ile ilgili freelance proje.,2024-01-11,2024-01-18,5,7,Hayır,2,254,Hayır,-,0,254,3,2,9,Revizyon istedi,Aylık,Müşteri geç yanıt verdi,İptal edildi,Power BI,35,10
17,Proje 17,Firma E,Eğitim,Freelancer,Satış,Satış ile ilgili freelance proje.,2023-04-15,2023-04-22,5,7,Hayır,2,268,Hayır,-,0,268,3,2,9,Beklentilerin altında,Günlük,Müşteri geç yanıt verdi,İptal edildi,Power BI,28,8
18,Proje 18,Firma F,Sağlık,Bionluk,Pazarlama,Pazarlama ile ilgili freelance proje.,2023-10-01,2023-10-10,6,9,Hayır,3,971,Hayır,-,0,971,3,2,5,Memnun kaldı,Haftalık,Müşteri geç yanıt verdi,Devam ediyor,Tableau,18,7
19,Proje 19,Firma D,E-ticaret,Upwork,IT,IT ile ilgili freelance proje.,2023-12-29,2023-12-30,2,1,Evet,0,844,Hayır,-,0,844,0,2,9,Memnun kaldı,Haftalık,-,Devam ediyor,Power BI,2,8
20,Proje 20,Firma D,E-ticaret,Upwork,Satış,Satış ile ilgili freelance proje.,2024-03-15,2024-03-21,6,6,Evet,0,800,Evet,İletişim sorunları,30,770,4,2,9,Beklentilerin altında,Aylık,-,İptal edildi,SQL,36,8
21,Proje 21,Firma E,Eğitim,Freelancer,Tasarım,Tasarım ile ilgili freelance proje.,2024-03-10,2024-03-15,3,5,Hayır,2,650,Hayır,-,0,650,0,2,7,Beklentilerin altında,Aylık,İletişim kopukluğu,Tamamlandı,Python,10,7
22,Proje 22,Firma C,Teknoloji,Bionluk,Satış,Satış ile ilgili freelance proje.,2023-04-06,2023-04-11,2,5,Hayır,3,334,Hayır,-,0,334,4,2,8,Revizyon istedi,Aylık,Teknik sorun,Tamamlandı,Tableau,20,8
23,Proje 23,Firma B,Finans,Freelancer,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-08-25,2024-08-31,4,6,Hayır,2,675,Hayır,-,0,675,0,2,9,Beklentilerin altında,Günlük,Yoğunluk,İptal edildi,Tableau,36,6
24,Proje 24,Firma F,Sağlık,Bionluk,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-11-04,2024-11-10,4,6,Hayır,2,372,Evet,Müşteri memnuniyetsizliği,143,229,1,2,6,Revizyon istedi,Aylık,Teknik sorun,İptal edildi,Power BI,18,9
25,Proje 25,Firma E,Eğitim,Freelancer,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2023-11-14,2023-11-23,6,9,Hayır,3,519,Evet,Müşteri memnuniyetsizliği,205,314,2,2,8,Beklentilerin altında,Günlük,Yoğunluk,Tamamlandı,Tableau,18,10
26,Proje 26,Firma A,Perakende,Upwork,Satış,Satış ile ilgili freelance proje.,2023-02-01,2023-02-04,2,3,Hayır,1,704,Hayır,-,0,704,0,2,10,Revizyon istedi,Günlük,Revizyon geldi,Tamamlandı,Excel,9,8
27,Proje 27,Firma C,Teknoloji,Bionluk,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2023-08-18,2023-08-25,6,7,Hayır,1,911,Hayır,-,0,911,2,2,9,Beklentilerin altında,Günlük,İletişim kopukluğu,Tamamlandı,Power BI,35,6
28,Proje 28,Firma D,E-ticaret,Upwork,Satış,Satış ile ilgili freelance proje.,2024-05-13,2024-05-16,4,3,Evet,0,258,Hayır,-,0,258,2,2,9,Memnun kaldı,Günlük,-,Tamamlandı,Power BI,18,9
29,Proje 29,Firma A,Perakende,Upwork,Tasarım,Tasarım ile ilgili freelance proje.,2024-04-10,2024-04-16,4,6,Hayır,2,620,Hayır,-,0,620,1,2,9,Orta kalite,Haftalık,İletişim kopukluğu,İptal edildi,Excel,24,7
30,Proje 30,Firma E,Eğitim,Freelancer,Pazarlama,Pazarlama ile ilgili freelance proje.,2023-05-30,2023-06-02,4,3,Evet,0,266,Evet,İletişim sorunları,87,179,2,2,10,Beklentilerin altında,Haftalık,-,İptal edildi,Excel,9,10
31,Proje 31,Firma B,Finans,Freelancer,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-07-20,2024-07-26,5,6,Hayır,1,413,Evet,Eksik teslimat,26,387,2,2,7,Memnun kaldı,Günlük,İletişim kopukluğu,Devam ediyor,SQL,12,6
32,Proje 32,Firma B,Finans,Freelancer,Tasarım,Tasarım ile ilgili freelance proje.,2023-05-23,2023-06-02,7,10,Hayır,3,962,Hayır,-,0,962,0,2,7,Beklentilerin altında,Aylık,Müşteri geç yanıt verdi,Devam ediyor,Excel,20,10
33,Proje 33,Firma C,Teknoloji,Bionluk,Satış,Satış ile ilgili freelance proje.,2024-07-28,2024-08-01,5,4,Evet,0,634,Hayır,-,0,634,0,2,10,Revizyon istedi,Haftalık,-,Devam ediyor,Tableau,16,10
34,Proje 34,Firma F,Sağlık,Bionluk,Tasarım,Tasarım ile ilgili freelance proje.,2024-05-30,2024-06-05,3,6,Hayır,3,658,Hayır,-,0,658,4,2,7,Memnun kaldı,Aylık,Yoğunluk,Devam ediyor,SQL,12,8
35,Proje 35,Firma E,Eğitim,Freelancer,Satış,Satış ile ilgili freelance proje.,2024-10-02,2024-10-03,2,1,Evet,0,783,Hayır,-,0,783,2,2,9,Memnun kaldı,Haftalık,-,Tamamlandı,Tableau,2,6
36,Proje 36,Firma D,E-ticaret,Upwork,Satış,Satış ile ilgili freelance proje.,2024-10-14,2024-10-17,4,3,Evet,0,417,Evet,Revizyon fazlası,82,335,4,2,10,Memnun kaldı,Haftalık,-,İptal edildi,Power BI,15,10
37,Proje 37,Firma B,Finans,Freelancer,Tasarım,Tasarım ile ilgili freelance proje.,2024-06-24,2024-07-03,6,9,Hayır,3,370,Hayır,-,0,370,1,2,5,Memnun kaldı,Günlük,Teknik sorun,Tamamlandı,Python,54,8
38,Proje 38,Firma D,E-ticaret,Upwork,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2023-05-11,2023-05-15,3,4,Hayır,1,996,Hayır,-,0,996,4,2,10,Revizyon istedi,Günlük,Revizyon geldi,Tamamlandı,SQL,12,8
39,Proje 39,Firma B,Finans,Freelancer,Pazarlama,Pazarlama ile ilgili freelance proje.,2023-06-20,2023-06-25,5,5,Evet,0,300,Evet,Revizyon fazlası,113,187,2,2,7,Beklentilerin altında,Günlük,-,İptal edildi,Excel,20,7
40,Proje 40,Firma F,Sağlık,Bionluk,Satış,Satış ile ilgili freelance proje.,2023-03-31,2023-04-02,3,2,Evet,0,641,Hayır,-,0,641,0,2,7,Memnun kaldı,Günlük,-,İptal edildi,Tableau,6,7
41,Proje 41,Firma E,Eğitim,Freelancer,Tasarım,Tasarım ile ilgili freelance proje.,2023-03-29,2023-04-04,7,6,Evet,0,338,Hayır,-,0,338,0,2,9,Harika iş,Günlük,-,Devam ediyor,SQL,24,7
42,Proje 42,Firma B,Finans,Freelancer,IT,IT ile ilgili freelance proje.,2023-08-19,2023-08-20,2,1,Evet,0,392,Hayır,-,0,392,3,2,8,Harika iş,Haftalık,-,İptal edildi,SQL,2,8
43,Proje 43,Firma B,Finans,Freelancer,Pazarlama,Pazarlama ile ilgili freelance proje.,2024-01-23,2024-01-28,3,5,Hayır,2,826,Hayır,-,0,826,4,2,9,Memnun kaldı,Aylık,Revizyon geldi,Devam ediyor,Power BI,15,6
44,Proje 44,Firma C,Teknoloji,Bionluk,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-10-29,2024-11-03,2,5,Hayır,3,364,Hayır,-,0,364,2,2,6,Revizyon istedi,Aylık,Revizyon geldi,Tamamlandı,Tableau,15,10
45,Proje 45,Firma A,Perakende,Upwork,Veri Analizi,Veri Analizi ile ilgili freelance proje.,2024-08-16,2024-08-20,5,4,Evet,0,367,Hayır,-,0,367,0,2,6,Harika iş,Aylık,-,Tamamlandı,Excel,12,9
